restaurant,section,item,price,description,location
Capital Kitchen,Menu Items,SEAFOOD PIZZA,₹1450,"Calamari, shrimp, smoked salmon, conﬁt garlic, capers",
Capital Kitchen,Menu Items,PIZZA PEPPERONI,₹1450,"Pork pepperoni, crushed tomatoes, mozzarella, chilli",
Capital Kitchen,Menu Items,THE CAPITAL PIZZA 1450 /,₹1150,"Barbecued chicken, red onion, fresh coriander, tomato sauce /  Roasted garlic,",
Capital Kitchen,Menu Items,CLASSIC PIZZA MARGHERITA,₹1150,"Mozzarella, fresh basil, tomato sauce",
Capital Kitchen,Menu Items,PIZZA FUNGI,₹1150,"Assorted mushrooms, crushed tomatoes, crispy garlic, red onion, mozzarella",
Capital Kitchen,FROM THE STONE OVEN,CAESAR SALAD,₹875,"Romaine lettuce, crispy bacon, grilled chicken breast, garlic-anchovy",
Capital Kitchen,FROM THE STONE OVEN,GREEK SALAD,₹795,"Herb-marinated feta, cucumber, tomatoes, Kalamata olives,",
Capital Kitchen,FROM THE STONE OVEN,TUSCAN TOMATO SOUP,₹625,"A heart-warming roma tomato soup, served with garlic crostini",
Capital Kitchen,FROM THE STONE OVEN,GOURMET CHICKEN BURGER,₹1350,"Juicy chicken patty topped with cheddar, crispy bacon, gherkins,",
Capital Kitchen,FROM THE STONE OVEN,CAJUN VEGETABLE BURGER,₹1150,"Cajun-spiced vegetable patty, gherkins, sliced tomatoes, served with",
Capital Kitchen,FROM THE STONE OVEN,KATHI ROLL WITH CHICKEN / COTTAGE CHEESE 1175 /,₹1075,Clay oven-roasted spiced morsels of chicken / cottage cheese wrapped in,
Capital Kitchen,FROM THE STONE OVEN,THE CAPITAL CLUB,₹1175,"Toasted double decker sandwich, chicken, fried egg, crispy bacon,",
Capital Kitchen,FROM THE STONE OVEN,THE VEGETARIAN CLUB,₹1075,"Toasted double decker sandwich, grilled vegetables, tomato, cucumber,",
Capital Kitchen,FROM THE STONE OVEN,CHICKEN AND CHEESE SANDWICH,₹1075,"Roasted pulled chicken, cheese sandwich",
Capital Kitchen,FROM THE STONE OVEN,MASKA TOASTIE,₹925,"Spiced potatoes, bell peppers, tomato, cheese, fresh mint chutney",
Capital Kitchen,FROM THE STONE OVEN,"GRILLED PRAWNS, LEMON GARLIC BUTTER",₹1700,"Herb-grilled jumbo prawns, garlic citrus butter",
Capital Kitchen,FROM THE STONE OVEN,ROTISSERIE CHICKEN,₹1550,"Perfectly roasted half-a-chicken, thyme jus, truﬄe-scented six-grain stew",
Capital Kitchen,FROM THE STONE OVEN,RIGATONI BOLOGNAISE,₹1350,"Rich lamb, crushed tomatoes and garlic ragout, shaved Parmesan",
Capital Kitchen,FROM THE STONE OVEN,PENNE ARRABBIATA,₹1150,"Classic spicy tomato-onion sauce, crushed garlic, shaved Parmesan",
Capital Kitchen,SWEET INDULGENCE,VALRHONA CHOCOLATE MOUSSE,₹750,None,
Capital Kitchen,SWEET INDULGENCE,SWEET CHILLI CHOCOLATE MOUSSE,₹750,None,
Capital Kitchen,SWEET INDULGENCE,"STICKY DATE CAKE, FIVE-SPICE CARAMEL",₹750,None,
Capital Kitchen,SWEET INDULGENCE,APPLE CRUMBLE.,₹650,None,
Capital Kitchen,SWEET INDULGENCE,RASMALAI,₹650,"Cottage cheese dumpling, sweet saﬀron milk, pistachio",
Capital Kitchen,SPIRIT-FREE CRAFT COCKTAILS,SUMMER CHARM,₹495,"Pineapple, basil, ginger ale",
Capital Kitchen,SPIRIT-FREE CRAFT COCKTAILS,MYSTIQUE PINK,₹495,"Cranberry, ginger, curry leaf, lime",
Capital Kitchen,SPIRIT-FREE CRAFT COCKTAILS,WINTER BOOSTER,₹495,"Orange juice, honey, ginger, black pepper",
Capital Kitchen,SPIRIT-FREE CRAFT COCKTAILS,HULK,₹495,"Kiwi, ginger, mint, sprite",
Capital Kitchen,OTHER BEVERAGES,FRESHLY SQUEEZED SEASONAL FRUIT JUICE,₹395,None,
Capital Kitchen,OTHER BEVERAGES,RED BULL,₹350,None,
Capital Kitchen,OTHER BEVERAGES,STILL BOTTLED WATER 750 ML,₹325,None,
Capital Kitchen,OTHER BEVERAGES,HIMALAYAN SPARKLING 330 ML,₹325,None,
Capital Kitchen,OTHER BEVERAGES,AERATED BEVERAGES,₹295,None,
Capital Kitchen,OTHER BEVERAGES,ICED TEA,₹400,None,
Capital Kitchen,OTHER BEVERAGES,COLD COFFEE,₹495,None,
Capital Kitchen,OTHER BEVERAGES,SELECTION OF TEA / COFFEE,₹495,None,
Capital Kitchen,OTHER BEVERAGES,PANCH PHORAN MACCHHI TIKKA,₹1325,"Clay oven-roasted ﬁllets of ﬁsh, traditional ﬁve-spice marinade",
Capital Kitchen,OTHER BEVERAGES,DHUNGAAR MURGH,₹1325,"Clay oven-roasted tender morsels of chicken marinated in yoghurt, freshly-pound",
Capital Kitchen,OTHER BEVERAGES,LAL MIRCH KA PANEER TIKKA,₹1225,"Slow-cooked cottage cheese, ﬂavoured with red chillies, Indian spices",
Capital Kitchen,OTHER BEVERAGES,KURKURE KHUMB,₹1125,Crispy-fried cheese stuﬀed mushroom,
Capital Kitchen,TRADITIONAL FLAVOURS,LAL MAAS,₹1425,"Traditional Rajasthani spicy lamb curry, Mathania red chillies",
Capital Kitchen,TRADITIONAL FLAVOURS,MURGH MAKHANI,₹1375,"Clay oven-roasted chicken, in a rich gravy of onion, tomatoes, chef's secret blend",
Capital Kitchen,TRADITIONAL FLAVOURS,GHAR KI MURGI,₹1375,Home-style chicken curry,
Capital Kitchen,TRADITIONAL FLAVOURS,CHICKEN TIKKA TAWA MASALA,₹1375,"Clay oven-roasted pulled chicken, tomato-fenugreek gravy",
Capital Kitchen,TRADITIONAL FLAVOURS,PANEER TIKKA MASALEDAR,₹1125,"Fresh cottage cheese, tangy tomato-onion gravy",
Capital Kitchen,TRADITIONAL FLAVOURS,LASOONI PALAK PANEER,₹1175,"Golden fried cottage cheese cubes, garlic and cumin-tempered fresh spinach",
Capital Kitchen,TRADITIONAL FLAVOURS,SUBZ HANDI,₹1025,"Garden fresh vegetables, rich cashew nut cream",
Capital Kitchen,TRADITIONAL FLAVOURS,DAL MAKHANI,₹1050,"Slow-cooked whole black lentils, simmered overnight with tomatoes and chilli,",
