restaurant,item,price,description
Capital Kitchen,SEAFOOD PIZZA,₹1450,"Calamari, shrimp, smoked salmon, conﬁt garlic, capers"
Capital Kitchen,PIZZA PEPPERONI,₹1450,"Pork pepperoni, crushed tomatoes, mozzarella, chilli"
Capital Kitchen,THE CAPITAL PIZZA 1450 /,₹1150,"Barbecued chicken, red onion, fresh coriander, tomato sauce /  Roasted garlic,"
Capital Kitchen,CLASSIC PIZZA MARGHERITA,₹1150,"Mozzarella, fresh basil, tomato sauce"
Capital Kitchen,PIZZA FUNGI,₹1150,"Assorted mushrooms, crushed tomatoes, crispy garlic, red onion, mozzarella"
Capital Kitchen,CAESAR SALAD,₹875,"Romaine lettuce, crispy bacon, grilled chicken breast, garlic-anchovy"
Capital Kitchen,GREEK SALAD,₹795,"Herb-marinated feta, cucumber, tomatoes, Kalamata olives,"
Capital Kitchen,TUSCAN TOMATO SOUP,₹625,"A heart-warming roma tomato soup, served with garlic crostini"
Capital Kitchen,GOURMET CHICKEN BURGER,₹1350,"Juicy chicken patty topped with cheddar, crispy bacon, gherkins,"
Capital Kitchen,CAJUN VEGETABLE BURGER,₹1150,"Cajun-spiced vegetable patty, gherkins, sliced tomatoes, served with"
Capital Kitchen,KATHI ROLL WITH CHICKEN / COTTAGE CHEESE 1175 /,₹1075,Clay oven-roasted spiced morsels of chicken / cottage cheese wrapped in
Capital Kitchen,THE CAPITAL CLUB,₹1175,"Toasted double decker sandwich, chicken, fried egg, crispy bacon,"
Capital Kitchen,THE VEGETARIAN CLUB,₹1075,"Toasted double decker sandwich, grilled vegetables, tomato, cucumber,"
Capital Kitchen,CHICKEN AND CHEESE SANDWICH,₹1075,"Roasted pulled chicken, cheese sandwich"
Capital Kitchen,MASKA TOASTIE,₹925,"Spiced potatoes, bell peppers, tomato, cheese, fresh mint chutney"
Capital Kitchen,"GRILLED PRAWNS, LEMON GARLIC BUTTER",₹1700,"Herb-grilled jumbo prawns, garlic citrus butter"
Capital Kitchen,ROTISSERIE CHICKEN,₹1550,"Perfectly roasted half-a-chicken, thyme jus, truﬄe-scented six-grain stew"
Capital Kitchen,RIGATONI BOLOGNAISE,₹1350,"Rich lamb, crushed tomatoes and garlic ragout, shaved Parmesan"
Capital Kitchen,PENNE ARRABBIATA,₹1150,"Classic spicy tomato-onion sauce, crushed garlic, shaved Parmesan"
Capital Kitchen,VALRHONA CHOCOLATE MOUSSE,₹750,
Capital Kitchen,SWEET CHILLI CHOCOLATE MOUSSE,₹750,
Capital Kitchen,"STICKY DATE CAKE, FIVE-SPICE CARAMEL",₹750,
Capital Kitchen,APPLE CRUMBLE.,₹650,
Capital Kitchen,RASMALAI,₹650,"Cottage cheese dumpling, sweet saﬀron milk, pistachio"
Capital Kitchen,SUMMER CHARM,₹495,"Pineapple, basil, ginger ale"
Capital Kitchen,MYSTIQUE PINK,₹495,"Cranberry, ginger, curry leaf, lime"
Capital Kitchen,WINTER BOOSTER,₹495,"Orange juice, honey, ginger, black pepper"
Capital Kitchen,HULK,₹495,"Kiwi, ginger, mint, sprite"
Capital Kitchen,FRESHLY SQUEEZED SEASONAL FRUIT JUICE,₹395,
Capital Kitchen,RED BULL,₹350,
Capital Kitchen,STILL BOTTLED WATER 750 ML,₹325,
Capital Kitchen,HIMALAYAN SPARKLING 330 ML,₹325,
Capital Kitchen,AERATED BEVERAGES,₹295,
Capital Kitchen,ICED TEA,₹400,
Capital Kitchen,COLD COFFEE,₹495,
Capital Kitchen,SELECTION OF TEA / COFFEE,₹495,
Capital Kitchen,PANCH PHORAN MACCHHI TIKKA,₹1325,"Clay oven-roasted ﬁllets of ﬁsh, traditional ﬁve-spice marinade"
Capital Kitchen,DHUNGAAR MURGH,₹1325,"Clay oven-roasted tender morsels of chicken marinated in yoghurt, freshly-pound"
Capital Kitchen,LAL MIRCH KA PANEER TIKKA,₹1225,"Slow-cooked cottage cheese, ﬂavoured with red chillies, Indian spices"
Capital Kitchen,KURKURE KHUMB,₹1125,Crispy-fried cheese stuﬀed mushroom
Capital Kitchen,LAL MAAS,₹1425,"Traditional Rajasthani spicy lamb curry, Mathania red chillies"
Capital Kitchen,MURGH MAKHANI,₹1375,"Clay oven-roasted chicken, in a rich gravy of onion, tomatoes, chef's secret blend"
Capital Kitchen,GHAR KI MURGI,₹1375,Home-style chicken curry
Capital Kitchen,CHICKEN TIKKA TAWA MASALA,₹1375,"Clay oven-roasted pulled chicken, tomato-fenugreek gravy"
Capital Kitchen,PANEER TIKKA MASALEDAR,₹1125,"Fresh cottage cheese, tangy tomato-onion gravy"
Capital Kitchen,LASOONI PALAK PANEER,₹1175,"Golden fried cottage cheese cubes, garlic and cumin-tempered fresh spinach"
Capital Kitchen,SUBZ HANDI,₹1025,"Garden fresh vegetables, rich cashew nut cream"
Capital Kitchen,DAL MAKHANI,₹1050,"Slow-cooked whole black lentils, simmered overnight with tomatoes and chilli,"
Capital Kitchen,DAL TADKA,₹950,"Split yellow lentils, tempered with ginger and chillies"
Capital Kitchen,GOSHT / SUBZ BIRYANI 1425 /,₹1275,"Traditional fragrant basmati rice, layers of spiced lamb / vegetables, cooked in a"
Capital Kitchen,"TANDOORI BREADS - ROTI, NAAN, PARATHA",₹425,Two of any
Capital Kitchen,STEAMED BASMATI RICE,₹425,Mains
Capital Kitchen,2500/1,₹2500,Non Vintage
Capital Kitchen,2000/,₹4000,Chardonnay
Capital Kitchen,1750/,₹8750,Chardonnay
Capital Kitchen,650/,₹3250,Sauvignon Blanc
Capital Kitchen,700/,₹3500,Pinot Grigio
Capital Kitchen,1200/,₹6000,Pinot Grigio
Capital Kitchen,850/,₹4250,Sangiovese
Capital Kitchen,1200/,₹6000,Sangiovese
Capital Kitchen,850/,₹4250,Cabernet Shiraz
Capital Kitchen,750/,₹3750,Cabernet Sangiovese
Capital Kitchen,1300/,₹6500,Pinot Noir
Capital Kitchen,1450/,₹7250,Merlot
Capital Kitchen,850/,₹4250,Portugal
Capital Kitchen,950/,₹4750,India
Capital Kitchen,700/,₹3500,Wheat
Rick's Bar,Glenfarclas,₹1954,
Rick's Bar,Ladyburn,₹1973,
Emperor Lounge,Curried vegetable turnover,350,"Puff pastry, mix vegetable masala"
Emperor Lounge,Chilli Paneer Croissant,350,"Flaky pastry, chili paneer preparation"
Emperor Lounge,Corn - spinach quiche,350,"Short crust pastry, corn & spinach preparation"
Emperor Lounge,Chicken Tikka Puff,400,"Puff pastry, chicken tikka masala"
Emperor Lounge,Keema Mattar Croissant,400,"Flaky pastry, lamb keema masala"
Emperor Lounge,Chicken Mushroom quiche,400,"Short crust pastry, chicken & mushroom preparation"
Emperor Lounge,Red velvet cake half kg,1050,"Soft red velvet sponge, cream cheese frosting"
Emperor Lounge,Chocolate truffle cake half kg,950,"Soft chocolate sponge, dark chocolate truffle"
Emperor Lounge,Mix fruit cake half kg,850,"Soft vanilla sponge, cream patisserie, assorted fruits"
Emperor Lounge,Pineapple cake half kg,850,"Soft vanilla sponge, cream patisserie, pineapple"
Emperor Lounge,Carrot cake half kg,1050,"Grated carrot, egg, refined flour, vegetable oil, cream cheese frosting, walnut"
Emperor Lounge,New York cheese cake half kg,1050,"Cream cheese, fresh cream, egg, butter, biscuit crumbs"
Emperor Lounge,Sugar free/ liqueur/ truffles 4 / 6  / 9 / 12 pc 275 /375 / 475 /,575,
Emperor Lounge,Key lime pie,275,"White couverture, lime truffle"
Emperor Lounge,Banana blossom,275,"Milk couverture, banana chocolate truffle"
Emperor Lounge,Dulce de leche,275,"Milk couverture, caramel filling"
Emperor Lounge,Coffee truffle,275,"Dark couverture, coffee truffle"
Emperor Lounge,Strawberry ginger truffle,275,"Milk couverture, strawberry ginger truffle"
Emperor Lounge,Lemon,275,"Almond meal, powder sugar, white couverture, lemon juice"
Emperor Lounge,Chocolate ganache,275,"Almond meal, powder sugar, cocoa powder, vegetable oil"
Emperor Lounge,Pistachio,275,"Almond meal, powder sugar, white couverture, pistachio paste, butter"
Emperor Lounge,Raspberry,275,"Almond meal, powder sugar, white couverture, raspberry puree, butter"
Emperor Lounge,Coffee,275,"Almond meal, powder sugar, dark couverture, roasted coffee beans, butter"
Emperor Lounge,Vanilla,275,"Almond meal, powder sugar, white couverture, butter"
Emperor Lounge,Red velvet Pastry,295,"Soft red velvet sponge, cream cheese frosting"
Emperor Lounge,CARAMEL TIRAMISU SLICE,516,"Soft vanilla sponge, italian mascarpone cream, caramel sauce"
Emperor Lounge,Fresh Fruit Pastry,347,"Soft vanilla sponge, cream patisserie, assorted fruits"
Emperor Lounge,Black Forest,100,"Soft chocolate sponge, dark chocolate cream, vanilla cream, dark cherry filling"
Emperor Lounge,CHOCOLATE HAZELNUT SLICE,639,"Soft chocolate sponge, dark chocolate truffle, hazelnut crunch"
Emperor Lounge,BAKED BERRY CHEESECAKE,519,"Cream cheese, fresh cream, egg , berry confit, biscuit crumbs"
Emperor Lounge,Butter Croissant,195,"Refined flour, butter, milk"
Emperor Lounge,Pain au Chocolate,521,"Refined flour, butter, milk, dark couverture"
Emperor Lounge,Chocolate Croissant,511,"Refined flour, butter, milk, dark couverture"
Emperor Lounge,Chocolate Doughnut,615,"Dark couverture, butter, milk, flour, egg, cream"
Emperor Lounge,Blueberry crumble,195,"Egg, cream, refined flour, almond meal, yogurt, butter"
Emperor Lounge,Cranberry Orange,195,"Egg, cream, refined flour, almond meal, yogurt, butter, dried cranberry"
